Channel ID,Channel Display Name,Partner Revenue
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.008712
UCOxtujRGJOoo33Zd12iwkIA,ẢO BAND,0
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.001949
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.000577
UCLAc-74Q9A4VGuz7BtNxgAw,Pin News,0
UCwhtlxxTUWTD7KCd2lcmXew,Phương Múp,2.380578
UCaUQt5bWRLL8nq8aoaj7tRg,CNN NEWDAY,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.000855
UCLmmu_ebl2XWzdjmx8aVjyw,Thùy Uyên - Design Tutorials,0.014599
UCgV0uGcOodDJ2POCr15yjIw,Hà Nhi Official,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.023359
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,0.004339
UCeBzUoclyJAaexLXSTT8Aag,Hollywood News,0
UCyhjcqRdGJrGgCW0vxYB3gA,Xuân Thảo Vlogs,11.621763
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,1.311744
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,2.704654
UC_rw062-bJtSTiNNdOS9YBg,Cherry Minh Ngọc,0.002112
UCcc-xg4oKDECFzFIFBOZD0A,Sunny Fun TV,0.092401
UCh1iCu0u7950VGJ7KxCFBzg,Ngáo TV,0
UCkslBlp-xFDGB5T3Dzhq3zg,Giàng A Pháo,0.106161
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.007112
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0.122553
UCyCBNOiWkBFEQ5HEWmXoUSg,Rhy,0
UC2omkW6q_8Wbv4XOhPl0Pwg,Xuân Mạnh Vlogs,0.001626
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.006024
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.016842
UCs1nyM9gm2DjoTO2JmqzUKg,Nhạc Sàn Pro,0.283549
UCpIbFtR9rpXTw9zicdivP-w,VINH LAM TV,0.010119
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.003596
UCFBzw59k0W-YQaUqyK3p-Iw,NsoTien TV,0
UCDvKA9ZYYD8cF4GSf-CaJ-Q,V Channel - Ghiền Công Nghệ,0
UCuHL9SSiXZnM89fM2n3GMPg,Hài TV / Comedy,0
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.129968
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.000529
UCUD-8bS7nJcT0ObqdJBgq5w,Slime. Hcm,0.033653
UCa5Jkd6Y1eYP5W-6ygSlLtw,Daily News,0.360487
UC4TqyXMCW0c08N7aRfqxq9A,Gin Tuấn Kiệt,0.921034
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.108024
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.027927
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0.027276
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.002086
UCG5YJCzWV8ech3Fx4NhSyxg,Engelbert,0.601884
UCR0YZHK9PfUbFWRDMAnW3Nw,QUANG BÌNH CHANNEL,0.112167
UCd7AuGqhXpOf-m5YBH4HM7w,JodieStarling's,0
UCYThQ2J6Unob3otPxI_wbOg,GOLAZO TV,0.365734
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0.002947
UC6HpVx4WZ7I82rc6Zdys3tw,Wildvn TV,3.037536
UCto609nvuBlqHVP_dhIrcmQ,Loan Nguyễn,0.235757
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.009958
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.002913
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
