Channel ID,Channel Display Name,Partner Revenue
UCSCcq_H73Hm7jHaUNTd4Z_g,The Speakeasy,0.007103
UCRdbY9Zo8S3r3MrSjlDxJfw,STV News,0.004013
UC3Ge8bBJhpxkrTJrLYWURlA,Vanmiu Beauty,1.213702
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0.004766
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.015552
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0
UChBu64RIcdO6hMaJ4Ao8kZA,Liêu Hà Trinh,0.060046
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.187118
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0.014217
UCpRaxwqI0gq-n9BFWziRn1Q,Vo Ha Tram Official,16.643073
UC2991LtxBBj_Ib7CB3_Cs-w,Bao Công,0
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.021706
UCuHL9SSiXZnM89fM2n3GMPg,Hài TV / Comedy,0.055776
UCf1_KkmMrPkxX_FIq-W9yhA,Ống Kính Hậu Trường,0.001083
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,93.828134
UCTq2dfu0hGe7yHz-eH4-DSw,Siêu Sao TV,0.026889
UCTq2dfu0hGe7yHz-eH4-DSw,Siêu Sao TV,0.121648
UCQMR3LAH1kNfvJzLSWXJ41w,TỐP ANIME HAY,0
UCR08Oa8SiQvOui4Cma5KkCg,Gia My Official,0.062219
UCpRaxwqI0gq-n9BFWziRn1Q,Vo Ha Tram Official,0.007336
UCpq5pn83ajL8LgcAUAk2fbw,Peace4Everyone,0
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,0.054908
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.004229
UCOZ8z9xeWubBriv_IYDIsDw,Rhoda Ricamara,0.000672
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.007317
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,11.591111
UCpWjproaHsZl38uWXaOwilQ,Trường Đặng,0.000719
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.10264
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,33.158806
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,1.186619
UCqDpVOeCFYq2C2aLhQsm8TQ,Get Fit Vietnam,0
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.181111
UCuHL9SSiXZnM89fM2n3GMPg,Hài TV / Comedy,5.225804
UCaRJT3MHpRh51b758HCdjoQ,Sam Sam Channel,0.000531
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.047153
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.644307
UC-Xqt_AUETd3g7Ulp2l-3gw,DANCE PASSION VIETNAM,0.012923
UCFl-lCoiKxpI7h2VE-6gDlw,Pham Thuy Van,6.325978
UCkvIaObZWNK9n6SB53sUu-g,Buzz TV,0.005687
UCvE_03SkYjkovApE4O9AjBg,Guitar Classic,239.208205
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.517577
UClPVhacg1DWtMOEAz11LYBg,PQH Game.,0
UCEPHB5VGIDxbpKDQTDDLDEg,Rap Việt Underground,0.211119
