Channel ID,Channel Display Name,Partner Revenue
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.026413
UCYFXGwTXqyogPsOFvmP4PgA,Dân Núi Vlogs,7.606352
UCnidVRZng96xx-OVc6dK6fQ,IELTS FACE-OFF,0
UCOxtujRGJOoo33Zd12iwkIA,imBLACK.,0.006505
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.005296
UCqcKwUc8guV3fQ7lsyxeZMg,THẬT MẠNH/Entertainment,0.49597
UCw9-kaxAF4KYY8QixC56gBg,nha TO,36.427396
UC9uxRZnQTBeTU9FWSknrExg,Ngộ,0.033524
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.002249
UCwhtlxxTUWTD7KCd2lcmXew,Phương Múp,0.18817
UCVcnqbwGZ1rOXytFRK5UrhA,XE TỐT 88,0.002203
UCot2vvg0QR2V7WjMP5M936Q,THÁI PHÚ QUỐC,0.023768
UCSKPpO74W8E0d7jrG8K9Yzw,TVH Vlogs,719.990247
UCLmmu_ebl2XWzdjmx8aVjyw,Thùy Uyên - Design Tutorials,0.007078
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0.010687
UCgV0uGcOodDJ2POCr15yjIw,Hà Nhi Official,0
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,0
UClcvAdWnEtj3rggSC8D6zOA,Loren You Official,0
UCVi9e3AErzsKhcaUjS1jfDQ,THA MEDIA KIDS,0.02947
UCyhjcqRdGJrGgCW0vxYB3gA,Xuân Thảo Vlogs,0.745715
UCfczcowXuvRER8ZHsmdWsbA,QT STUDIO,0.148691
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,0.602024
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0.333146
UC_rw062-bJtSTiNNdOS9YBg,Cherry Minh Ngọc,0
UC3T1mVM83MM8K-ht9XGs5lw,Lâm Gia,0.14026
UCcc-xg4oKDECFzFIFBOZD0A,Sunny Fun TV,0.048804
UCh1iCu0u7950VGJ7KxCFBzg,Mừng Ola Official,0.000594
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0.120957
UCyCBNOiWkBFEQ5HEWmXoUSg,Rhy,0
UC2omkW6q_8Wbv4XOhPl0Pwg,Xuân Mạnh Vlogs,0.004362
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.010355
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,1.896207
UCs1nyM9gm2DjoTO2JmqzUKg,Nhạc Sàn Pro,0.043311
UCpIbFtR9rpXTw9zicdivP-w,VINH LAM TV,0.001699
UCFBzw59k0W-YQaUqyK3p-Iw,NsoTien TV,0.000133
UCDvKA9ZYYD8cF4GSf-CaJ-Q,V Channel - Ghiền Công Nghệ,0.003559
UCYD1nndd88En0jKzw8OZ7Iw,Funny Hùng,0.231423
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.022747
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0
UCUD-8bS7nJcT0ObqdJBgq5w,Slime. Hcm,0.021802
UCa5Jkd6Y1eYP5W-6ygSlLtw,Daily News,0.368831
UC4TqyXMCW0c08N7aRfqxq9A,Gin Tuấn Kiệt,3.324499
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.087979
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0.12242
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.002814
UCFW48M_Oo8x2sYSRVRWaIsw,Mai Vàng Bình Lợi,0.002599
UCGZ3633_mjOzUlzkitOYGwg,PMT DR,0.820036
UCG5YJCzWV8ech3Fx4NhSyxg,Engelbert,0.005888
UCR0YZHK9PfUbFWRDMAnW3Nw,QUANG BÌNH CHANNEL,0.204946
UCd7AuGqhXpOf-m5YBH4HM7w,JodieStarling's,0
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0.006223
UC6HpVx4WZ7I82rc6Zdys3tw,Wildvn TV,10.940666
UCto609nvuBlqHVP_dhIrcmQ,Loan Nguyễn,0.209701
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.002036
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0.004151
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.006999
UClCtDwAQ666I52jD1isIyDQ,toàn sv5 all,2.691952
UCina3cX4wvRnXkLrCheT9KA,Shop Thảo Tâm Handmade,0.001972
UCGZ3633_mjOzUlzkitOYGwg,PMT DR,1.653361
UCZALpPdZy4UpABE3IJFoYLw,Nghệ Thuật ORIGAMI,0.007873
UCMxWrrd9Vlhx0mtHOIfQOAQ,PhongRPG Gaming,0
UCaUQt5bWRLL8nq8aoaj7tRg,CNN NEWDAY,0
UCyhjcqRdGJrGgCW0vxYB3gA,Xuân Thảo Vlogs,0.352011
UCRClvaPMxUClbE5cZIdJEuA,Quốc Đạt VLog,0.000637
UCaMJm7KfrzzqswNgaRt1Njw,Vo Ha Trinh Official,0.055111
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.021673
UCd7AuGqhXpOf-m5YBH4HM7w,JodieStarling's,0
UCaUQt5bWRLL8nq8aoaj7tRg,CNN NEWDAY,0
UCKoVM0uXdBx3uOgIrIevRYw,Đur Blogs,9.333396
UCyu4k9lkbCb0dp7RiqwEUQQ,HCMLIKE Channel - Hoàng Audio HCM. 0937031686,0.176157
